Parti,Bogstav,Politologi,Altinget,Epinion,YouGov,Megafon,Voxmeter,Gallup,DR,TV2_2000,TV2_2020,Resultat
Socialdemokratiet,A,25.6,25.3,24.4,27.6,25.2,24.2,26.2,23.1,25.1,24.9,27.5
Radikale,B,4.1,4.4,4.7,3.2,4.7,4.4,4.4,4.7,4.4,4.4,3.8
Konservative,C,6.2,5.9,5.8,6.5,5.9,6.1,6,5.5,5.7,5.5,5.5
Nye Borgerlige,D,4.6,4.5,5.2,4.3,4.2,4.1,4.3,3.8,3.8,3.8,3.7
SF,F,8.7,9,8.7,8.5,9,9.7,8.7,9.6,9,9.1,8.3
Liberal Alliance,I,7.4,7.7,8.6,6.9,7.5,7.7,7.3,9,8,8.2,7.9
Kristendemokraterne,K,0.6,0.5,0.4,0.2,0.8,0.7,0.9,0.4,0.7,0.7,0.5
Moderaterne,M,8.8,9.3,8.3,8,9,8.5,8.8,9.3,9.3,9.3,9.3
Dansk Folkeparti,O,2.8,2.6,2.4,2.8,2.8,2.9,2.9,2.5,2.9,2.9,2.6
Frie Grønne,Q,0.6,0.6,0.7,0.9,0.5,0.7,0.3,1.3,0.5,0.5,0.9
Venstre,V,13.3,13.3,13.3,12.9,13.9,14,13.7,13.5,13.8,13.6,13.3
Danmarksdemokraterne,Æ,7.7,8,8.6,10.1,7.1,6.9,7,6.9,7,6.9,8.1
Enhedslisten,Ø,6.4,6.3,6.3,6.3,6.4,6.5,6.3,6.2,6.2,6.2,5.1
Alternativet,Å,2.7,2.5,2.3,1.9,2.9,3.6,3.2,3.9,3.5,3.9,3.3
